Date, Close/Last, Volume, Open, High, Low
02/07/2020, $100.62, 576061, $102.95, $103.45, $99.78
02/06/2020, $103.94, 737763, $104.5, $106, $102.255
02/05/2020, $104.47, 1133564, $109.82, $109.9, $101.53
02/04/2020, $107.81, 1218119, $102.8, $108.14, $102.4437
02/03/2020, $100.98, 1018554, $98.16, $101.86, $97.66
01/31/2020, $97.86, 1086245, $103.02, $103.05, $96.5
01/30/2020, $103.22, 786374, $102.01, $103.7, $100.35
01/29/2020, $102.71, 1152607, $103.75, $105.4, $102.29
01/28/2020, $103.36, 1484739, $99.26, $103.87, $97.67
01/27/2020, $96.25, 2811727, $105, $105, $96
01/24/2020, $110.13, 950253, $109.99, $112.99, $109.41
01/23/2020, $108.73, 768537, $108.39, $110.825, $106.78
01/22/2020, $108.46, 639049, $108.35, $108.95, $106.55
01/21/2020, $107.53, 1102704, $105.07, $108.81, $103.91
01/17/2020, $104.75, 652689, $102.9, $105.6, $102.1
01/16/2020, $102.7, 1122385, $104.32, $104.99, $100.42
01/15/2020, $103.61, 558446, $104.39, $105.5, $102.865
01/14/2020, $104.02, 741434, $103.37, $104.62, $101.01
01/13/2020, $103.08, 875151, $105.11, $106.14, $102.72
01/10/2020, $104.52, 1118974, $103.23, $106.11, $103.1
01/09/2020, $102.74, 1030552, $105.4, $105.6, $101.23
01/08/2020, $104.16, 1041329, $101.19, $105.68, $101.19
01/07/2020, $101.79, 838196, $100, $102.03, $97.7
01/06/2020, $99.63, 971121, $101.37, $101.88, $98.6346
01/03/2020, $102.38, 1016551, $100.84, $103.6, $100.0204
01/02/2020, $101.81, 2152674, $97, $101.88, $96.75
12/31/2019, $95.09, 554731, $93.9, $96, $93.78
12/30/2019, $94, 539272, $94.66, $94.99, $92.02
12/27/2019, $94.26, 346514, $95.57, $95.95, $93.91
12/26/2019, $95.56, 551733, $95.55, $96.24, $94.51
12/24/2019, $95.2, 187305, $94.89, $95.5, $93.31
12/23/2019, $94.18, 845224, $95.7, $95.7, $92.9
12/20/2019, $95, 1399186, $94, $96.64, $93.5601
12/19/2019, $93.78, 1464356, $91.59, $94.54, $91.01
12/18/2019, $91.86, 1058147, $91.68, $93.0435, $90.57
12/17/2019, $91.44, 1350333, $92.16, $93.95, $90.86
12/16/2019, $92.79, 6128006, $90.16, $94.0573, $89.56
12/13/2019, $90.17, 1364886, $86.82, $90.99, $86.16
12/12/2019, $87.3, 1236924, $83.53, $87.6, $82.77
12/11/2019, $83.51, 790563, $81.56, $84.15, $81.53
12/10/2019, $81.48, 763646, $82.7, $82.99, $79.55
12/09/2019, $82.84, 942165, $83.57, $85.06, $82.05
12/06/2019, $83.93, 1290788, $83.43, $85.6764, $82.78
12/05/2019, $82.89, 2055023, $86.52, $87.93, $82.6101
12/04/2019, $86.54, 1681542, $88.5, $89.2667, $85.12
12/03/2019, $88.04, 1568427, $80.82, $88.25, $79.5
12/02/2019, $81.72, 736744, $83, $83.4, $80.17
11/29/2019, $81.61, 467415, $82.5, $82.89, $80.03
11/27/2019, $82.39, 817069, $79.71, $83.35, $79.18
11/26/2019, $78.91, 1000988, $80.44, $81, $78.43
11/25/2019, $80.16, 1349859, $77, $81.2, $76.7964
11/22/2019, $76.37, 1234570, $77.55, $77.76, $74.07
11/21/2019, $76.98, 1018898, $78.36, $79.24, $76.41
11/20/2019, $78.31, 847610, $79, $80.07, $77.6055
11/19/2019, $79.02, 1014706, $77.5, $79.145, $75.26
11/18/2019, $76.79, 903255, $78.8, $78.8, $76.461
11/15/2019, $78.96, 822243, $78.46, $81, $78.46
11/14/2019, $78.24, 1496204, $77.39, $78.85, $76.33
11/13/2019, $77.28, 1367988, $80.58, $80.7, $77.16
11/12/2019, $80.75, 904464, $81.31, $82.67, $79.85
11/11/2019, $81.07, 1354274, $78.43, $82, $77.65
11/08/2019, $77.95, 1466909, $79.9, $80.57, $76.31
11/07/2019, $79.9, 4564298, $78.19, $84.09, $75.11
11/06/2019, $79.91, 2514883, $83.78, $85, $79.68
11/05/2019, $83.27, 1714507, $77.52, $83.565, $77.49
11/04/2019, $79.6, 1966312, $84.85, $85, $79.15
11/01/2019, $83.19, 935372, $85.37, $85.748, $82.1201
10/31/2019, $84.96, 946126, $85.51, $86.81, $83.42
10/30/2019, $84.82, 2524626, $89.58, $90.205, $82.7
10/29/2019, $92.08, 785317, $93.81, $94.9222, $91.85
10/28/2019, $93.32, 934300, $93.76, $96.6875, $93.03
10/25/2019, $93.2, 1126323, $92.88, $93.31, $88.27
10/24/2019, $93.5, 1668589, $92.12, $95, $91.1303
10/23/2019, $91.5, 1518881, $87.09, $92.6, $86.97
