Date, Close/Last, Volume, Open, High, Low
10/04/2019, $23.445, 3150180, $22.83, $23.52, $22.1169
10/03/2019, $22.42, 3410806, $21.95, $22.48, $21.2
10/02/2019, $21.9, 4117695, $21.27, $21.94, $20.23
10/01/2019, $21.71, 3013407, $22.07, $22.33, $21.38
09/30/2019, $22.23, 5060169, $22.49, $22.74, $21.62
09/27/2019, $22.255, 4298227, $23.18, $23.4, $22.16
09/26/2019, $23.185, 4689588, $25.06, $25.5, $23.06
09/25/2019, $25.06, 3207297, $24.71, $25.6353, $24.5
09/24/2019, $25.02, 6408883, $27.27, $27.45, $24.42
09/23/2019, $27.23, 5522007, $27.19, $27.5, $25.64
09/20/2019, $27.47, 6822465, $27.35, $27.72, $26.07
09/19/2019, $27.12, 7702204, $25.27, $27.585, $25.27
09/18/2019, $25.2, 5260244, $25.27, $25.78, $24.5
09/17/2019, $25.07, 6059936, $23.07, $25.47, $22.89
09/16/2019, $23.26, 6434647, $23.57, $24.9248, $23.1
09/13/2019, $22.08, 6497733, $21.77, $22.99, $21.54
09/12/2019, $22.2, 16805090, $25.13, $25.4, $21.23
09/11/2019, $24.72, 5771412, $23.39, $25.09, $23.35
09/10/2019, $23.28, 4718005, $23.09, $23.87, $22.61
09/09/2019, $23.8, 6176572, $25.27, $25.4, $23.36
09/06/2019, $25.4, 6979198, $25.32, $26.22, $24.24
09/05/2019, $25.29, 10034920, $28.6, $28.9278, $24.57
09/04/2019, $27.86, 4901006, $27.65, $28.1389, $26.7
09/03/2019, $27.7, 6681626, $28.79, $29.89, $27.605
08/30/2019, $29.67, 7039725, $31.62, $31.8, $28.7
08/29/2019, $31.15, 8509754, $33.83, $33.9936, $29.9
08/28/2019, $33.27, 4062323, $32.77, $33.9, $32.11
08/27/2019, $33.05, 5099533, $34.88, $35.42, $32.92
08/26/2019, $34.62, 3621654, $33.73, $34.64, $33.33
08/23/2019, $33.4, 3925182, $33.34, $34.8699, $33.17
08/22/2019, $33.75, 4788854, $34.76, $35.1141, $33.18
08/21/2019, $34.83, 3606193, $34.47, $35.09, $34.21
08/20/2019, $33.88, 4133762, $33.25, $34.63, $32.6401
08/19/2019, $33.4, 5170410, $32.9, $33.89, $32.5
08/16/2019, $32.03, 5169813, $30.35, $32.4, $30.22
08/15/2019, $29.78, 3486206, $30.63, $30.8131, $29.51
08/14/2019, $30.22, 5836984, $31.81, $31.95, $29.21
08/13/2019, $32.17, 3341198, $30.69, $32.36, $30.57
08/12/2019, $30.9, 5011459, $31.07, $32.07, $30.52
08/09/2019, $31.85, 4300034, $31.48, $32.8, $30.83
08/08/2019, $31.58, 4372966, $31.07, $31.69, $29.81
08/07/2019, $30.785, 5962161, $28.77, $31.3027, $28.26
08/06/2019, $28.72, 4969475, $28.01, $29.536, $28
08/05/2019, $27.45, 6764455, $27.8, $28.47, $26.11
08/02/2019, $29.12, 6600289, $29.49, $29.89, $28.35
08/01/2019, $30.1, 11806000, $28.58, $31.165, $28.2
07/31/2019, $28.15, 22313410, $26.31, $28.93, $26.29
07/30/2019, $21.65, 5147104, $21, $21.7, $20.7
07/29/2019, $21.2, 3592812, $21, $21.32, $20.14
07/26/2019, $20.8, 3104594, $19.89, $20.84, $19.8
07/25/2019, $19.8, 2602616, $20.45, $20.46, $19.72
07/24/2019, $20.02, 2537716, $19.65, $20.0739, $19.36
07/23/2019, $19.65, 5561604, $21.38, $21.5143, $19.14
07/22/2019, $21.26, 3009896, $21.03, $21.28, $20.68
07/19/2019, $20.81, 3346096, $20.72, $21.17, $20.58
07/18/2019, $20.66, 5944266, $20.15, $20.77, $20.03
07/17/2019, $20.19, 2310621, $20.31, $20.54, $20.1
07/16/2019, $20.35, 3761389, $19.72, $20.5856, $19.52
07/15/2019, $19.66, 2479014, $19.82, $19.9, $19.28
07/12/2019, $19.67, 3275540, $19.57, $19.93, $19.32
07/11/2019, $19.48, 4329769, $20.005, $20.37, $19.22
07/10/2019, $19.89, 4919003, $20.58, $20.67, $19.09
07/09/2019, $20.42, 3685233, $20, $20.59, $19.86
07/08/2019, $19.97, 3775275, $19.63, $20.18, $19.28
07/05/2019, $19.64, 2474262, $19.01, $19.715, $18.56
07/03/2019, $18.97, 1891196, $18.67, $19.23, $18.67
07/02/2019, $18.56, 1980883, $18.25, $18.6592, $17.96
07/01/2019, $18.3, 3409767, $18.8, $18.88, $18.15
06/28/2019, $18.23, 6928834, $17.96, $18.28, $17.64
06/27/2019, $17.92, 2712902, $16.91, $18.07, $16.9
06/26/2019, $16.79, 2455542, $16.4, $16.94, $16.32
06/25/2019, $16.29, 4261840, $17.42, $17.47, $16.15
06/24/2019, $17.49, 2626685, $17.65, $18.299, $17.46
06/21/2019, $17.64, 3101174, $18.22, $18.3, $17.63
06/20/2019, $18.4, 3349676, $18.4, $18.74, $18.15
06/19/2019, $18.63, 4293879, $19.01, $19.06, $18
06/18/2019, $18.8, 4731938, $17.95, $19.13, $17.92
06/17/2019, $17.75, 2866643, $17.46, $17.7875, $17.145
06/14/2019, $17.33, 2648122, $17.41, $17.48, $17
06/13/2019, $17.51, 4329741, $17.5, $17.68, $16.71
