Date, Close/Last, Volume, Open, High, Low
11/21/2019, $13.42, 1446881, $13.49, $13.725, $13.26
11/20/2019, $13.54, 2815557, $14.05, $14.05, $13.47
11/19/2019, $14.09, 1645720, $14.46, $14.525, $14.02
11/18/2019, $14.44, 1772517, $14.64, $14.71, $14.25
11/15/2019, $14.71, 2727215, $14.54, $14.84, $14.31
11/14/2019, $14.4, 3313442, $13.88, $14.48, $13.88
11/13/2019, $13.77, 6213575, $14.88, $14.88, $12.9
11/12/2019, $14.485, 2606614, $14.44, $14.7, $14.13
11/11/2019, $14.43, 2087781, $14.85, $15.26, $14.3
11/08/2019, $14.74, 1836253, $14.76, $15.08, $14.7
11/07/2019, $14.77, 2359553, $14.96, $15.26, $14.73
11/06/2019, $14.85, 1169405, $14.93, $15.355, $14.73
11/05/2019, $14.95, 1655460, $14.97, $15.14, $14.46
11/04/2019, $14.915, 1755077, $15.8, $15.94, $14.88
11/01/2019, $15.59, 951361, $15.63, $15.83, $15.5
10/31/2019, $15.54, 1095759, $15.87, $16.1, $15.3
10/30/2019, $15.86, 959626, $15.95, $15.98, $15.45
10/29/2019, $15.97, 1236795, $15.78, $16.145, $15.54
10/28/2019, $15.86, 1335657, $15.43, $16.07, $15.4
10/25/2019, $15.24, 1257322, $15.58, $15.76, $15.0961
10/24/2019, $15.67, 1199077, $16.06, $16.06, $15.34
10/23/2019, $15.93, 2001601, $15.31, $16, $15.25
10/22/2019, $15.26, 2278051, $17, $17, $15.25
10/21/2019, $17.05, 1204975, $17.16, $17.34, $16.75
10/18/2019, $17, 1608613, $16.7, $17.29, $16.57
10/17/2019, $16.77, 812840, $17.06, $17.26, $16.64
10/16/2019, $16.935, 1125454, $17, $17.35, $16.83
10/15/2019, $17.215, 876707, $17.16, $17.3687, $17
10/14/2019, $17.21, 808670, $17.47, $17.55, $17.08
10/11/2019, $17.51, 1636001, $17.36, $17.95, $17.31
10/10/2019, $16.94, 1060343, $16.69, $17.18, $16.67
10/09/2019, $16.685, 1039574, $16.78, $16.89, $16.49
10/08/2019, $16.55, 1998191, $16.27, $16.74, $16.183
10/07/2019, $16.52, 2288202, $16.16, $16.6733, $15.91
10/04/2019, $16.22, 1084379, $15.98, $16.24, $15.63
10/03/2019, $15.77, 1122987, $15.52, $15.78, $15.02
10/02/2019, $15.5, 1670801, $15.99, $16, $15.445
10/01/2019, $16.26, 1333958, $16.72, $17.12, $16.185
09/30/2019, $16.705, 1689356, $16.21, $16.86, $15.93
09/27/2019, $16.14, 2164930, $16.6, $16.73, $15.86
09/26/2019, $16.64, 4404145, $16.91, $17.7, $16.4246
09/25/2019, $16.93, 1775568, $16.8, $17.01, $16.33
09/24/2019, $16.68, 3111061, $17.51, $17.63, $16.5
09/23/2019, $17.54, 1502678, $17.22, $17.67, $17
09/20/2019, $17.3, 2310836, $17.43, $17.625, $17.16
