Date, Close/Last, Volume, Open, High, Low
01/16/2020, $8.79, 2718378, $8.7, $8.94, $8.68
01/15/2020, $8.625, 4521807, $8.6, $8.71, $8.15
01/14/2020, $8.65, 6145039, $8.48, $8.89, $8.3201
01/13/2020, $8.415, 5276477, $7.71, $8.52, $7.71
01/10/2020, $7.74, 1684211, $7.92, $7.945, $7.7
01/09/2020, $7.89, 2448804, $7.73, $8.025, $7.71
01/08/2020, $7.675, 2945211, $7.58, $7.785, $7.46
01/07/2020, $7.64, 2124057, $7.49, $7.78, $7.38
01/06/2020, $7.47, 3636201, $7.23, $7.54, $7.085
01/03/2020, $7.365, 4621514, $7.73, $7.775, $7.35
01/02/2020, $7.83, 1810943, $7.9, $7.9014, $7.68
12/31/2019, $7.8, 3480969, $7.74, $7.85, $7.57
12/30/2019, $7.865, 3004581, $7.9, $7.95, $7.67
12/27/2019, $7.97, 2275238, $8.33, $8.37, $7.92
12/26/2019, $8.27, 3343923, $8.06, $8.42, $8.06
12/24/2019, $8.04, 890534, $7.88, $8.06, $7.82
12/23/2019, $7.88, 1939111, $7.72, $7.92, $7.65
12/20/2019, $7.72, 4825534, $7.75, $7.81, $7.545
12/19/2019, $7.69, 3645392, $8, $8.08, $7.63
12/18/2019, $7.95, 2149816, $7.89, $8.09, $7.86
12/17/2019, $7.89, 2289769, $8, $8.005, $7.72
12/16/2019, $7.91, 5317023, $7.74, $8.3, $7.74
12/13/2019, $7.67, 2536753, $7.51, $7.83, $7.51
12/12/2019, $7.54, 2185067, $7.55, $7.59, $7.4
12/11/2019, $7.56, 2570871, $7.19, $7.58, $7.14
12/10/2019, $7.2, 1645273, $7.21, $7.26, $7.125
12/09/2019, $7.23, 2053252, $7.24, $7.38, $7.17
12/06/2019, $7.24, 2944135, $7.11, $7.4, $7.08
12/05/2019, $7.085, 7262698, $7.41, $7.47, $7
12/04/2019, $7.37, 1873085, $7.47, $7.56, $7.33
12/03/2019, $7.43, 2284610, $7.17, $7.47, $7.14
12/02/2019, $7.28, 3199082, $7.49, $7.5, $7.2
11/29/2019, $7.49, 2325779, $7.52, $7.645, $7.41
11/27/2019, $7.58, 2537521, $7.23, $7.61, $7.2
11/26/2019, $7.22, 3167394, $7.4, $7.42, $7.13
11/25/2019, $7.36, 4426469, $7.21, $7.49, $7.12
11/22/2019, $7.2, 6490055, $7.15, $7.29, $6.88
11/21/2019, $7.15, 17598470, $7.93, $7.94, $7
11/20/2019, $7.42, 8283978, $8.47, $8.49, $7.37
11/19/2019, $8.53, 2942728, $8.33, $8.68, $8.25
11/18/2019, $8.26, 2529677, $7.95, $8.4, $7.93
11/15/2019, $8.3, 1981503, $8.05, $8.4, $8.04
11/14/2019, $7.98, 5246762, $8, $8.05, $7.605
11/13/2019, $7.99, 4650405, $8.5, $8.59, $7.975
11/12/2019, $8.52, 3972154, $8.51, $9.07, $8.345
11/11/2019, $8.47, 8890667, $8.93, $9.63, $8.46
11/08/2019, $8.37, 2107321, $8.41, $8.455, $8.32
11/07/2019, $8.47, 2273494, $8.79, $8.875, $8.46
11/06/2019, $8.73, 2614323, $8.49, $8.88, $8.45
11/05/2019, $8.53, 3956356, $8.3, $8.63, $8.035
11/04/2019, $8.3, 4939702, $8.88, $8.94, $8.28
11/01/2019, $8.82, 5667619, $8.8, $8.97, $8.16
10/31/2019, $8.76, 9183145, $9.55, $10.48, $8.72
10/30/2019, $8.4, 7429078, $9.33, $9.39, $8.37
10/29/2019, $9.41, 2507779, $9.36, $9.595, $9.18
10/28/2019, $9.32, 2907718, $9.27, $9.5656, $9.235
10/25/2019, $9.21, 3342944, $9.16, $9.26, $8.75
10/24/2019, $9.24, 2270628, $9.44, $9.54, $9.2
10/23/2019, $9.36, 2433648, $9.28, $9.7, $9.28
10/22/2019, $9.32, 4625723, $10.18, $10.24, $9.14
10/21/2019, $10.18, 3577224, $9.57, $10.33, $9.43
10/18/2019, $9.58, 3683090, $9.41, $9.73, $9.325
10/17/2019, $9.46, 2659171, $9.3, $9.61, $9.1
10/16/2019, $9.28, 2472261, $9.46, $9.57, $9.12
10/15/2019, $9.455, 2786752, $9.65, $9.71, $9.28
10/14/2019, $9.655, 2702590, $9.91, $10.01, $9.64
10/11/2019, $9.97, 2659058, $9.92, $10.08, $9.73
10/10/2019, $9.775, 2358914, $9.74, $10.06, $9.65
10/09/2019, $9.79, 3730793, $10.32, $10.45, $9.54
10/08/2019, $10.12, 3221180, $10.04, $10.445, $10.01
10/07/2019, $10.18, 8741636, $11.22, $11.65, $10.1
10/04/2019, $10.55, 4356100, $10.5, $11.0295, $10.1912
10/03/2019, $10.35, 4846893, $10.18, $10.4, $9.8
10/02/2019, $10.155, 2661419, $10.28, $10.34, $10.04
10/01/2019, $10.39, 3466430, $10.98, $11.083, $10.36
09/30/2019, $10.97, 3248491, $11.48, $11.55, $10.82
09/27/2019, $11.45, 6486365, $12.51, $12.585, $11.4
09/26/2019, $12.49, 3662293, $13.85, $13.9, $12.465
09/25/2019, $13.83, 1948875, $13.7, $13.99, $13.5756
09/24/2019, $13.81, 3528962, $15.21, $15.47, $13.75
09/23/2019, $15.01, 2860556, $14.71, $15.42, $14.39
09/20/2019, $14.7, 2994031, $14.89, $15.14, $14.59
09/19/2019, $15.09, 4733641, $14.39, $15.57, $14.37
09/18/2019, $14.41, 3244846, $14.51, $14.78, $14.08
09/17/2019, $14.5, 7503316, $13.02, $14.81, $12.96
09/16/2019, $12.94, 1636336, $12.72, $13.24, $12.6158
09/13/2019, $12.44, 1282161, $12.16, $12.547, $12.02
09/12/2019, $12.17, 1891460, $12.81, $12.85, $12.14
09/11/2019, $12.73, 1416130, $12.35, $12.75, $12.31
09/10/2019, $12.29, 2737299, $12.59, $12.59, $11.4
09/09/2019, $12.28, 1442498, $12.79, $12.836, $12.2
09/06/2019, $12.75, 1338384, $13.36, $13.4279, $12.74
09/05/2019, $13.38, 1837482, $13.48, $13.68, $13.1536
09/04/2019, $13.27, 1879030, $12.51, $13.3, $12.4369
09/03/2019, $12.34, 2316936, $12.38, $12.65, $12.15
08/30/2019, $12.52, 2962001, $13.26, $13.38, $12.3
08/29/2019, $13.19, 1250199, $13.39, $13.57, $13.015
